period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last
Fourth_Period,2,52,12221,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0, , , , , , , , , , , ,80,81,172,80.0,172.0
Fourth_Period,2,32,12221,Shot,,,,,,,80.0,Power_Play,1354.0,80.0,,False,False,False,0.8,0.193,0.849,0.601,,,,,,,,,,,,,,,,,,,,,,,80.0, , , ,Francesco Di Fulvio, , , , , , , ,80,81,152,80.0,172.0
Third_Period,3,23,12222,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,79.0, , , , , , , , , , , ,79,105,683,79.0,684.0
Third_Period,3,7,12222,Shot,,,,,,,79.0,Power_Play,1290.0,79.0,,False,False,False,0.349,0.242,0.678,0.577,,,1371.0,105.0,401.0,,,,,,,,,,,,,,,,,,79.0, , , ,Alvaro Granados, , , , , , ,Dimitrije Obradovic,79,105,667,79.0,683.0
Second_Period,1,43,12223,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0, , , , , , , , , , , ,165,78,1063,165.0,1086.0
Second_Period,1,31,12223,Shot,,,,,,,78.0,Power_Play,496.0,78.0,16.0,True,False,False,0.749,0.196,0.756,0.415,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic,Milos Cuk, , , , , , ,165,78,1051,78.0,1063.0
Third_Period,5,39,12223,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,165.0, , , , , , , , , , , ,165,78,819,78.0,833.0
Fourth_Period,2,39,12223,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,165.0, , , , , , , , , , , ,165,78,159,78.0,159.0
Fourth_Period,1,5,12223,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0, , , , , , , , , , , ,165,78,65,165.0,88.0
Fourth_Period,1,5,12223,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,Exclusion,2392.0,165.0,464.0,78.0,False,False,0.189,0.267,,78.0, , , , , , , , ,Dylan Woodhead,Nikola Jaksic, ,165,78,65,78.0,65.0
